client_id,age,gender,marital_status,education,employment_status,annual_income,loan_amount,loan_purpose,credit_score,defaulted,loan_to_income_ratio
b5a15a6a-a3cb-4bf2-862d-351b159c145e,56,Female,Divorced,High School,Retired,133646,9984,Education,749,0,0.07470481720365742
12f75404-9d2e-4f5a-9108-451918eeb57e,69,Female,Widowed,Masters,Retired,163606,24130,Car,779,0,0.14748847841766194
3130cb59-d796-427a-a65a-9e71349ab57a,46,Male,Single,Bachelors,Unemployed,163840,9258,Personal,756,0,0.05650634765625
779fa80b-a879-452b-b326-b00455852373,32,Male,Divorced,PhD,Unemployed,42625,13502,Car,326,1,0.3167624633431085
83833870-8920-483a-b641-2101071bc3af,60,Male,Married,Bachelors,Student,48660,38279,Education,655,1,0.786662556514591
5cc99f87-8f85-40f4-b5f8-51c9de156a5f,25,Male,Widowed,High School,Student,40032,41080,Business,318,1,1.0261790567545963
4e9d1382-e672-4a8e-a935-50b0f2c31717,78,Male,Divorced,PhD,Employed,188964,13839,Business,827,0,0.07323617196926399
6eeffeef-7194-43ee-9db5-3960a5c192f2,38,Female,Widowed,Bachelors,Student,44357,29371,Home,569,1,0.6621502806772325
0a3c14d5-2a0c-416d-89fa-824f68ca4cb5,56,Male,Married,High School,Employed,20497,34338,Business,445,1,1.6752695516417038
40ddb059-fd77-4f7c-ae82-5712e7eb9113,75,Male,Divorced,Bachelors,Employed,153206,42499,Home,841,0,0.2773977520462645
3f30e51d-3770-4504-936a-89d1f894c9f2,36,Male,Widowed,Masters,Employed,169905,6356,Education,448,1,0.037409140401989345
accb87b2-c3ea-45b7-b2aa-3244b650a2f8,40,Male,Divorced,High School,Retired,183738,17500,Home,482,0,0.09524431527501116
928dd3fe-94f1-4c81-8a07-1926be5aff43,28,Male,Single,Masters,Student,89828,11390,Home,341,1,0.12679788039364118
88fd5b95-8428-4d82-bace-8c7c8c6b0e88,28,Female,Widowed,High School,Unemployed,112923,30778,Home,464,1,0.272557406374255
6db75088-c8bb-4443-9ae9-c4fb3f1ec098,41,Male,Divorced,Masters,Employed,117362,40992,Car,393,1,0.3492783013241083
16186847-d982-46c3-b5d9-e07175c520c1,70,Male,Single,PhD,Unemployed,151098,20840,Home,513,0,0.13792373161789037
d9ecc26d-98a9-4f34-a9b0-5b266833fcb2,53,Male,Married,Masters,Employed,32108,30980,Personal,487,1,0.964868568581039
296256f0-2bd0-41b1-99a4-727caf1f63d3,57,Female,Widowed,Bachelors,Student,144597,36819,Education,387,1,0.2546318388348306
cd5e5c93-a33f-411e-a4de-9ade1656438e,41,Female,Widowed,High School,Employed,34470,15065,Car,757,0,0.4370467072816942
cf038cfe-5f83-47c9-891d-b3aedb0530a7,20,Male,Married,Bachelors,Student,49785,11559,Personal,771,0,0.23217836697800542
4485ae0e-273d-41d9-bedd-55e0dc2da75a,39,Male,Single,Masters,Unemployed,153325,9433,Education,353,1,0.06152290885374205
b0944681-cf05-4abb-9f52-6c7c7dffdcfb,70,Female,Married,High School,Student,40026,9656,Car,671,0,0.2412431919252486
e1981e0e-599a-4d5f-92f4-c514917d4361,19,Female,Widowed,Masters,Unemployed,195330,44210,Education,816,0,0.22633492039113295
b95be6a5-91d9-49e5-9e3f-0f19c1e18004,41,Female,Divorced,PhD,Student,197219,32477,Business,664,0,0.16467480313762872
edb20b12-e7f7-4a45-bdfa-d64f6370bfdf,61,Male,Single,PhD,Employed,65417,47524,Education,336,1,0.7264778268645765
969bb363-df71-48a4-8638-a0c689428c0a,47,Male,Single,PhD,Employed,127779,41575,Business,418,1,0.3253664530165364
a1f868e9-9cd3-45d2-9ce1-b23af2e81cac,55,Female,Single,Masters,Student,152158,41070,Business,708,0,0.2699167970136306
da302a50-69ca-489d-8ddf-638a30f36a7f,19,Male,Married,Masters,Unemployed,175478,30529,Education,662,0,0.1739762249398785
df8feaf8-d421-4b03-84f3-eeef5e0641e8,77,Female,Married,PhD,Unemployed,120319,19262,Business,668,0,0.16009109118260623
530b5436-e16d-47e1-9ea7-fa0418136650,38,Female,Divorced,Masters,Unemployed,106987,38649,Car,452,1,0.36124949760251246
376c60ca-834f-498f-a590-26cfbf63e56d,50,Female,Divorced,Bachelors,Student,95443,43865,Business,622,1,0.4595936841884685
f826e880-d627-4f07-8ee9-89c318a5a936,29,Male,Single,Masters,Student,132238,37577,Home,593,1,0.28416188992573993
fd6e1299-5ff4-485e-b1a0-220c56574b1e,75,Female,Divorced,Bachelors,Student,111838,9763,Car,779,0,0.087295910155761
45e006de-d636-49d8-a486-23ac62c7b897,39,Female,Married,PhD,Student,158156,22989,Car,777,0,0.14535648347201496
33d78927-fbd4-42a0-b5db-e819061219ed,78,Male,Divorced,Masters,Unemployed,143787,25117,Car,747,0,0.17468199489522696
3c440f68-b04f-4fa4-a5d6-bd08f366372d,61,Female,Married,PhD,Unemployed,105383,48508,Home,429,1,0.46030194623421233
888dac92-ba13-4316-9e1a-7aca74bd95f2,42,Male,Divorced,High School,Retired,73493,37409,Home,641,1,0.5090144639625542
ba738cbc-4369-405f-98c4-e26304a373ed,66,Female,Widowed,Masters,Student,42805,29080,Home,566,1,0.6793598878635674
12285b7d-3132-468b-bf5c-a22aeca73910,44,Male,Married,Masters,Retired,81786,29195,Home,637,1,0.3569681852639816
